Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Leandro Barbosa,SG,6.3,194,11,32,66,1,14.9,2.8,5.8,.474,0.7,1.7,.384,2.1,4.2,.511,.530,0.9,1.1,.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1,2015
Harrison Barnes,SF,6.8,225,2,22,82,82,28.3,3.9,8.0,.482,1.1,2.6,.405,2.8,5.4,.519,.548,1.3,1.8,.720,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1,2015
Andrew Bogut,C,7.0,260,9,30,67,65,23.6,3.0,5.3,.563,0.0,0.0,,3.0,5.3,.563,.563,0.3,0.6,.524,2.1,6.0,8.1,2.7,0.6,1.7,1.6,2.8,6.3,2015
Stephen Curry,PG,6.2,185,5,26,80,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,2015
Festus Ezeli,C,6.11,255,1,25,46,7,11.0,1.7,3.0,.547,0.0,0.0,,1.7,3.0,.547,.547,1.1,1.7,.628,1.3,2.1,3.4,0.2,0.2,0.9,0.7,1.7,4.4,2015
Draymond Green,PF,6.6,230,2,24,79,79,31.5,4.3,9.7,.443,1.4,4.2,.337,2.9,5.5,.523,.516,1.7,2.5,.660,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7,2015
Justin Holiday,SG,6.6,180,1,25,59,4,11.1,1.5,4.0,.387,0.6,1.8,.321,0.9,2.1,.444,.462,0.6,0.8,.822,0.2,1.0,1.2,0.8,0.7,0.2,0.5,0.9,4.3,2015
Andre Iguodala,SF,6.6,215,10,31,77,0,26.9,3.0,6.4,.466,1.0,2.8,.349,2.0,3.7,.553,.540,0.9,1.5,.596,0.6,2.8,3.3,3.0,1.2,0.3,1.1,1.3,7.8,2015
Ognjen Kuzmić,C,7.1,251,1,24,16,0,4.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.3,0.3,1.000,0.4,0.6,1.1,0.4,0.1,0.1,0.3,0.8,1.3,2015
David Lee,PF,6.9,245,9,31,49,4,18.4,3.3,6.4,.511,0.0,0.0,.000,3.3,6.3,.514,.511,1.4,2.1,.654,1.7,3.6,5.2,1.7,0.6,0.5,1.0,1.7,7.9,2015
Shaun Livingston,PG,6.7,192,9,29,78,2,18.8,2.5,5.1,.500,0.0,0.0,.000,2.5,5.1,.503,.500,0.8,1.2,.714,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9,2015
James Michael McAdoo,PF,6.9,230,0,22,15,0,9.1,1.6,2.9,.545,0.0,0.0,,1.6,2.9,.545,.545,0.9,1.7,.560,1.0,1.5,2.5,0.1,0.3,0.6,0.4,1.4,4.1,2015
Brandon Rush,SG,6.6,220,6,29,33,0,8.2,0.3,1.6,.204,0.1,0.8,.111,0.2,0.8,.296,.231,0.2,0.3,.455,0.1,1.1,1.2,0.4,0.2,0.4,0.3,0.8,0.9,2015
