Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Leandro Barbosa,SG,190,88,12,33,68,0,15.9,2.5,5.4,.462,0.6,1.6,.355,1.9,3.8,.508,.515,0.8,0.9,.839,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,2016
Harrison Barnes,SF,203,102,3,23,66,59,30.9,4.5,9.6,.466,1.2,3.2,.383,3.2,6.3,.508,.531,1.5,2.0,.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7,2016
Andrew Bogut,C,213,118,10,31,70,66,20.7,2.5,4.0,.627,0.0,0.0,1.000,2.5,4.0,.626,.629,0.3,0.7,.480,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4,2016
Ian Clark,SG,190,79,2,24,66,1,8.8,1.3,3.1,.441,0.5,1.3,.357,0.9,1.8,.500,.515,0.4,0.5,.824,0.2,0.8,1.0,1.0,0.3,0.2,0.7,0.9,3.6,2016
Stephen Curry,PG,188,84,6,27,79,79,34.2,10.2,20.2,.504,5.1,11.2,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,2016
Festus Ezeli,C,211,116,2,26,46,13,16.7,2.7,5.0,.548,0.0,0.0,,2.7,5.0,.548,.548,1.5,2.9,.530,2.0,3.6,5.6,0.7,0.4,1.1,0.8,2.0,7.0,2016
Draymond Green,PF,198,104,3,25,81,81,34.7,5.0,10.1,.490,1.2,3.2,.388,3.7,6.9,.537,.551,2.8,4.1,.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0,2016
Andre Iguodala,SF,198,98,11,32,65,1,26.6,2.7,5.7,.478,0.8,2.4,.351,1.9,3.3,.570,.552,0.8,1.3,.614,0.8,3.2,4.0,3.4,1.1,0.3,1.2,1.6,7.0,2016
Shaun Livingston,PG,201,87,10,30,78,3,19.5,2.6,4.9,.536,0.0,0.2,.167,2.6,4.7,.548,.538,1.0,1.2,.860,0.5,1.6,2.2,3.0,0.7,0.3,1.0,1.8,6.3,2016
Kevon Looney,PF,206,101,0,19,5,0,4.2,0.8,1.4,.571,0.2,0.4,.500,0.6,1.0,.600,.643,0.0,0.0,,0.8,1.2,2.0,0.0,0.0,0.0,0.2,0.4,1.8,2016
James Michael McAdoo,PF,206,104,1,23,41,1,6.4,1.1,2.0,.536,0.0,0.0,.500,1.1,2.0,.537,.542,0.6,1.2,.531,0.7,0.7,1.4,0.4,0.2,0.2,0.4,1.0,2.9,2016
Brandon Rush,SG,198,100,7,30,72,25,14.7,1.5,3.6,.427,0.9,2.2,.414,0.6,1.4,.447,.552,0.3,0.4,.643,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2,2016
Marreese Speights,C,208,116,7,28,72,0,11.6,2.7,6.3,.432,0.3,0.9,.387,2.4,5.5,.439,.458,1.3,1.6,.825,1.1,2.3,3.3,0.8,0.3,0.5,0.9,1.6,7.1,2016
Jason Thompson,C,211,113,7,29,28,1,6.4,0.7,1.5,.476,0.0,0.0,,0.7,1.5,.476,.476,0.7,1.1,.625,0.4,1.6,1.9,0.7,0.1,0.3,0.3,1.4,2.1,2016
Klay Thompson,SG,198,98,4,25,80,80,33.3,8.1,17.3,.470,3.5,8.1,.425,4.7,9.2,.510,.569,2.4,2.8,.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,2016
Anderson Varejão,C,208,124,11,33,22,0,8.5,1.0,2.2,.438,0.0,0.0,,1.0,2.2,.438,.438,0.7,1.3,.552,0.6,1.7,2.3,0.7,0.2,0.2,0.3,1.6,2.6,2016
Steven Adams,C,211,120,2,22,80,80,25.2,3.3,5.3,.613,0.0,0.0,,3.3,5.3,.613,.613,1.4,2.5,.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,2016
D.J. Augustin,PG,180,83,7,28,34,0,15.3,1.4,3.6,.380,0.7,1.8,.393,0.6,1.8,.367,.479,0.8,1.0,.765,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.2,4.2,2016
Nick Collison,PF,208,116,11,35,59,4,11.8,0.8,1.8,.459,0.0,0.0,.000,0.8,1.8,.467,.459,0.4,0.6,.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1,2016
